2025-09-18 19:41:28,197 - INFO - 📋 Starting Modularized Optuna Pipeline
2025-09-18 19:41:28,198 - INFO - 📦 Original shape: (15000, 11)
2025-09-18 19:41:28,198 - INFO - 🧹 Cleaning dataset (dropping NaNs)
2025-09-18 19:41:28,213 - INFO - 📐 Performing train-test split.
2025-09-18 19:41:28,285 - INFO - ✅ After dropna: (14694, 11)
2025-09-18 19:41:28,285 - INFO - 🚀 Starting optimization for: torch_mlp
2025-09-18 21:07:32,306 - INFO - 🔁 Trial 22: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:09:34,800 - INFO - 🔁 Trial 23: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:13:38,415 - INFO - 🔁 Trial 24: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:19:07,861 - INFO - 🔁 Trial 25: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:26:32,705 - INFO - 🔁 Trial 26: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:27:27,896 - INFO - 🔁 Trial 27: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:37:04,060 - INFO - 🔁 Trial 28: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:37:50,232 - INFO - 🔁 Trial 29: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:38:39,090 - INFO - 🔁 Trial 30: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:41:33,278 - INFO - 🔁 Trial 31: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:42:07,481 - INFO - 🔁 Trial 32: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:43:15,756 - INFO - 🔁 Trial 33: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:43:45,243 - INFO - 🔁 Trial 34: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:45:32,873 - INFO - 🔁 Trial 35: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:50:01,906 - INFO - 🔁 Trial 36: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:51:20,381 - INFO - 🔁 Trial 37: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:55:30,324 - INFO - 🔁 Trial 38: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:56:34,887 - INFO - 🔁 Trial 39: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:57:31,702 - INFO - 🔁 Trial 40: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 21:58:48,536 - INFO - 🔁 Trial 41: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:01:12,847 - INFO - 🔁 Trial 42: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:04:05,537 - INFO - 🔁 Trial 43: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:06:10,791 - INFO - 🔁 Trial 44: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:08:45,308 - INFO - 🔁 Trial 45: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:09:19,813 - INFO - 🔁 Trial 46: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:19:36,278 - INFO - 🔁 Trial 47: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:20:37,841 - INFO - 🔁 Trial 48: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:22:59,949 - INFO - 🔁 Trial 49: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:26:30,055 - INFO - 🔁 Trial 50: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:26:45,546 - INFO - 🔁 Trial 51: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:27:21,255 - INFO - 🔁 Trial 52: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:28:23,274 - INFO - 🔁 Trial 53: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:30:26,785 - INFO - 🔁 Trial 54: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:31:38,325 - INFO - 🔁 Trial 55: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 22:32:54,829 - INFO - 🔁 Trial 56: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
